man_fsetid,fsetid,type,start,stop,feature_type,n_pm_probes,P_SKMel29_AdDNp73beta_1.CEL,P_SKMel29_AdDNp73beta_2.CEL,P_SKMel29_AdDNp73beta_3.CEL,P_SKMel29_AdGFP_1.CEL,P_SKMel29_AdGFP_2.CEL,P_SKMel29_AdGFP_3.CEL,P_SKMel29_AdTAp73alpha_1.CEL,P_SKMel29_AdTAp73alpha_2.CEL,P_SKMel29_AdTAp73alpha_3.CEL,log2_P_SKMel29_AdDNp73beta_1.CEL,log2_P_SKMel29_AdDNp73beta_2.CEL,log2_P_SKMel29_AdDNp73beta_3.CEL,log2_P_SKMel29_AdGFP_1.CEL,log2_P_SKMel29_AdGFP_2.CEL,log2_P_SKMel29_AdGFP_3.CEL,log2_P_SKMel29_AdTAp73alpha_1.CEL,log2_P_SKMel29_AdTAp73alpha_2.CEL,log2_P_SKMel29_AdTAp73alpha_3.CEL,DNp73beta_mean_log2,DNp73beta_sd_log2,GFP_mean_log2,GFP_sd_log2,TAp73alpha_mean_log2,TAp73alpha_sd_log2,log2FC_TAp73alpha_vs_GFP,log2FC_DNp73beta_vs_GFP,log2FC_TAp73alpha_vs_DNp73beta
PSR2200160993.hg.1,24521097,2,31345777.0,31345810.0,probeset_region,6,188.38888549804688,138.72222900390625,136.38888549804688,186.88888549804688,171.77777099609375,136.22222900390625,215.55555725097656,173.6666717529297,142.16665649414062,7.565207856867444,7.126417753274525,7.1021214873410266,7.553735916931267,7.432773806948567,7.100370396329416,7.758593385110488,7.4484605428273225,7.161551717908436,7.264582365827665,0.2606325795670195,7.362293373403084,0.2347566664702329,7.456201881948748,0.2985961057053425,0.09390850854566413,-0.09771100757541884,0.19161951612108297
PSR2200160994.hg.1,24521098,2,31345811.0,31346232.0,probeset_region,6,136.16665649414062,115.16666412353516,113.44444274902344,176.1666717529297,143.72222900390625,106.94444274902344,122.83332824707031,122.33332824707031,132.05555725097656,7.099786012707614,6.860052313563652,6.838503599255667,7.46896342222816,7.177142723328253,6.7541451614834545,6.952255840560967,6.946418900298454,7.055884957564344,6.932780641842311,0.14503165928677367,7.133417102346622,0.35940956292396176,6.984853232807922,0.06158446970877608,-0.14856386953870082,-0.2006364605043114,0.052072590965610566
PSR2200160995.hg.1,24521099,2,31346233.0,31346263.0,probeset_region,6,6260.77783203125,5556.83349609375,5946.4443359375,5945.888671875,6487.888671875,5867.0556640625,5794.66650390625,5302.6669921875,5172.72216796875,12.612356607205625,12.440306898985012,12.538054148724395,12.537919352803108,12.66375569896305,12.518666841066374,12.500758865926304,12.372774478701956,12.33698686716255,12.530239218305011,0.0862906737590704,12.573447297610846,0.0787995578549561,12.403506737263603,0.08610267523134103,-0.1699405603472428,-0.0432080793058347,-0.1267324810414081
JUC2200054818.hg.1,23658341,1,,,junction,4,67.44444274902344,77.27777862548828,93.83332824707031,70.16667175292969,100.94444274902344,83.33333587646484,124.77777862548828,79.88888549804688,88.72222900390625,6.0968615035159335,6.2905309104910145,6.567322264208343,6.153129862008367,6.671639322295043,6.398031117478646,6.974733251112971,6.337869578278967,6.487393557185555,6.318238226071763,0.23645105908060254,6.407600100594018,0.2593871415087721,6.599998795525831,0.33302971221822975,0.19239869493181327,-0.08936187452225486,0.28176056945406813
JUC2200054819.hg.1,23658342,1,,,junction,4,42.77777862548828,34.44444274902344,42.44444274902344,41.22222137451172,39.72222137451172,36.44444274902344,38.833335876464844,45.5,37.05555725097656,5.452126845950332,5.147487543313843,5.441099739563813,5.399930577923136,5.347744356659058,5.226679714416758,5.315904399367453,5.539158811108031,5.2500352406793835,5.34690470960933,0.17278832115859624,5.3247848829996505,0.0888781103504358,5.368366150384955,0.15153311926512678,0.043581267385304656,0.02211982660967937,0.021461440775625285
JUC2200054820.hg.1,23658343,1,,,junction,4,129.8333282470703,229.88888549804688,188.27777099609375,155.27777099609375,198.1666717529297,204.61111450195312,127.0,139.38888549804688,120.72222900390625,7.03158628697177,7.851054916274431,7.564361178963328,7.2879687732665435,7.6378324389901,7.683774442650158,7.0,7.133284912656749,6.927448847926837,7.482334127403177,0.4158467704498069,7.536525218302267,0.21647839777140054,7.020244586861195,0.1044006889764597,-0.516280631441072,-0.054191090899090355,-0.4620895405419816
JUC2200054821.hg.1,23658344,1,,,junction,4,68.72222137451172,97.72222137451172,96.38888549804688,64.77777862548828,86.44444274902344,107.0,53.55555725097656,71.27777862548828,59.44444274902344,6.123546629854962,6.625302952198195,6.605685229086125,6.039528382779356,6.4502947960934085,6.754887502163468,5.769654257706961,6.175480262196143,5.91753779934152,6.451511603713094,0.28419532336642955,6.414903560345411,0.3589903509808177,5.954224106414874,0.20538524855725118,-0.46067945393053655,0.036608043367682974,-0.4972874972982195
JUC2200054822.hg.1,23658345,1,,,junction,4,106.72222137451172,88.05555725097656,80.61111450195312,93.66667175292969,97.72222137451172,91.94444274902344,92.66666412353516,88.94444274902344,90.83333587646484,6.751172075311319,6.476633736177961,6.350693739056184,6.564784696296831,6.625302952198195,6.538296702279507,6.549463780329344,6.490962241665962,6.520946047802413,6.5261665168484875,0.20478243753587916,6.576128116924845,0.044598506419905294,6.52045735659924,0.0292538308741751,-0.05567076032560436,-0.04996160007635719,-0.005709160249247169
JUC2200054823.hg.1,23658346,1,,,junction,4,213.05555725097656,297.8888854980469,250.22222900390625,176.27777099609375,231.16665649414062,328.1666564941406,170.27777099609375,187.5,161.94444274902344,7.741841480644063,8.223465439634552,7.972820314254425,7.469867836647329,7.85901697866752,8.3626743926458,7.420194115541854,7.5584207132686645,7.348236339303543,7.979375744844346,0.24087889015246325,7.89718640265355,0.44762547436895495,7.442283722704687,0.1068191500772861,-0.45490267994886313,0.08218934219079621,-0.5370920221396593
JUC2200054824.hg.1,23658347,1,,,junction,4,105.61111450195312,196.94444274902344,201.44444274902344,100.22222137451172,105.22222900390625,187.11111450195312,75.44444274902344,92.38888549804688,96.5,6.736214040639006,7.628951754334109,7.661382230277533,6.661382230277533,6.7309418986462966,7.555441282458975,6.256339721263013,6.545178955411274,6.60733031374961,7.342182675083549,0.5250346877973087,6.982588470460935,0.4973227272369923,6.469616330141299,0.1872989101858071,-0.5129721403196355,0.3595942046226144,-0.8725663449422498
