probe_id,fsetid,atom,x,y,man_fsetid,type,start,stop,feature_type,P_SKMel29_AdDNp73beta_1.CEL,P_SKMel29_AdDNp73beta_2.CEL,P_SKMel29_AdDNp73beta_3.CEL,P_SKMel29_AdGFP_1.CEL,P_SKMel29_AdGFP_2.CEL,P_SKMel29_AdGFP_3.CEL,P_SKMel29_AdTAp73alpha_1.CEL,P_SKMel29_AdTAp73alpha_2.CEL,P_SKMel29_AdTAp73alpha_3.CEL,log2_P_SKMel29_AdDNp73beta_1.CEL,log2_P_SKMel29_AdDNp73beta_2.CEL,log2_P_SKMel29_AdDNp73beta_3.CEL,log2_P_SKMel29_AdGFP_1.CEL,log2_P_SKMel29_AdGFP_2.CEL,log2_P_SKMel29_AdGFP_3.CEL,log2_P_SKMel29_AdTAp73alpha_1.CEL,log2_P_SKMel29_AdTAp73alpha_2.CEL,log2_P_SKMel29_AdTAp73alpha_3.CEL,GFP_mean_log2,GFP_sd_log2,DNp73beta_mean_log2,DNp73beta_sd_log2,TAp73alpha_mean_log2,TAp73alpha_sd_log2,log2FC_TAp73alpha_vs_GFP,log2FC_DNp73beta_vs_GFP,log2FC_TAp73alpha_vs_DNp73beta,region_midpoint,probe_plot_x
2719387,24336485,5584490,1866,1014,PSR1600155104.hg.1,2,31187246.0,31188151.0,probeset_region,238.55556,246.88889,263.1111,194.77777,224.66667,314.22223,159.0,180.77777,175.33333,7.904216471520666,7.953549777067377,8.045001205022444,7.613073157503573,7.818049555370501,8.300225464870156,7.321928094887363,7.506031977676014,7.4621613697789195,7.91044939258141,0.35277169786882934,7.967589151203495,0.07143467866794202,7.430040480780765,0.09616326505993948,-0.4804089118006445,0.057139758622085424,-0.5375486704227299,31187698.5,31187635.15
3118639,24336485,5584491,1798,1163,PSR1600155104.hg.1,2,31187246.0,31188151.0,probeset_region,282.44446,469.55554,411.1111,234.88889,212.33333,534.6667,307.77777,315.22223,205.55556,8.146922251195923,8.878221211192777,8.686889562931164,7.881963633724696,7.736965559769676,9.065191767748658,8.270425086072349,8.304794976024127,7.690386065318901,8.228040320414342,0.7286103346049382,8.570677675106621,0.37924720747413315,8.088535375805126,0.3452353942085261,-0.13950494460921625,0.34263735469227896,-0.4821422993014952,31187698.5,31187761.85
3877520,24336485,5584492,2239,1446,PSR1600155104.hg.1,2,31187246.0,31188151.0,probeset_region,174.33333,310.77777,273.33334,132.22223,145.55556,377.0,126.22222,146.33333,120.111115,7.453956446719854,8.284374260796575,8.099786173196895,7.057691015412374,7.195303864498982,8.562242424221072,6.9912068719289895,7.202940008865344,6.920187458614231,7.605079101377476,0.8317785426459251,7.946038960237774,0.4360356529041093,7.038111446469522,0.1470961607350723,-0.5669676549079545,0.3409598588602982,-0.9079275137682528,31187698.5,31187888.55
3958498,24336485,5584493,137,1477,PSR1600155104.hg.1,2,31187246.0,31188151.0,probeset_region,285.44446,295.66666,264.66666,275.1111,374.55554,394.55554,316.55554,291.0,249.11111,8.162111615232073,8.212698975663436,8.053473358027711,8.109105152724663,8.552882477623614,8.62773647494228,8.310865138033407,8.189824558880018,7.966425359570954,8.429908035096853,0.28033310049363475,8.14276131630774,0.08135738982548113,8.155705018828128,0.17473636572514106,-0.274203016268725,-0.28714671878911346,0.012943702520388456,31187698.5,31188015.25
132957,24336486,5584494,1636,49,PSR1600155105.hg.1,2,31188152.0,31188324.0,probeset_region,126.111115,188.66667,261.77777,117.666664,151.77777,306.1111,132.44444,92.0,109.888885,6.989946373821705,7.567322380273965,8.037699429551838,6.890770899327012,7.255290837816985,8.262616914874874,7.06009541593378,6.539158811108031,6.792970959779157,7.469559550672957,0.7105798220997783,7.531656061215837,0.5247863195476087,6.79740839560699,0.2604966500540637,-0.6721511550659676,0.06209651054287946,-0.734247665608847,31188238.0,31188177.8
3762359,24336486,5584495,2318,1403,PSR1600155105.hg.1,2,31188152.0,31188324.0,probeset_region,113.55556,219.44444,237.33333,98.666664,160.22223,269.55554,123.55556,81.77778,76.77778,6.839903637277668,7.784271297848908,7.896836900156092,6.639039136664608,7.332906863310246,8.079780983202859,6.96064558100074,6.37117162868156,6.281286126114145,7.350575661059238,0.7205334183103748,7.5070039450942225,0.5804609110202009,6.537701111932148,0.3690275990081693,-0.8128745491270895,0.15642828403498488,-0.9693028331620743,31188238.0,31188201.88
4719508,24336486,5584496,27,1761,PSR1600155105.hg.1,2,31188152.0,31188324.0,probeset_region,223.66667,144.33333,171.55556,151.11111,175.33333,323.8889,111.55556,93.0,149.77777,7.811642313122095,7.1832217735654496,7.430917127119992,7.2489817619759656,7.4621613697789195,8.34380257945282,6.814493479090099,6.554588851677638,7.236279939086992,7.684981903735902,0.5804264797197213,7.475260404602513,0.31654831910402764,6.868454089951576,0.34403414846021435,-0.8165278137843259,-0.2097214991333889,-0.606806314650937,31188238.0,31188225.96
4921958,24336486,5584497,1477,1836,PSR1600155105.hg.1,2,31188152.0,31188324.0,probeset_region,101.44444,91.888885,93.111115,72.666664,61.666668,74.111115,64.22222,33.77778,74.666664,6.678697915110909,6.537434077974026,6.556293209870474,6.202940008865344,5.969626380230124,6.230954499969395,6.02729167291665,5.120093880656087,6.241585938081258,6.134506963021622,0.1434761578249243,6.590808400985137,0.07669642582233054,5.796323830551333,0.5953534386161747,-0.33818313247028886,0.4563014379635151,-0.7944845704338039,31188238.0,31188250.04
5250536,24336486,5584498,415,1959,PSR1600155105.hg.1,2,31188152.0,31188324.0,probeset_region,189.55556,197.33333,192.11111,141.22223,178.77777,206.88889,134.88889,140.88889,183.11111,7.5740678724538855,7.631783320476201,7.5932873907044,7.152003162238109,7.490070836565466,7.699668818266907,7.086283651085434,7.148617773783075,7.524432912349784,7.447247605690161,0.2763327514525073,7.599712861211496,0.02938933885837361,7.253111445739431,0.2370293007115699,-0.1941361599507303,0.15246525552133505,-0.34660141547206536,31188238.0,31188274.12
5267063,24336486,5584499,862,1965,PSR1600155105.hg.1,2,31188152.0,31188324.0,probeset_region,368.44446,438.22223,546.7778,261.44446,349.1111,620.55554,233.66667,289.55554,300.44446,8.529213676799085,8.778807260652817,9.097446911961883,8.035868322514638,8.451669051547794,9.279739505551893,7.874469149185714,8.18267016234582,8.235748395753019,8.589092293204777,0.6332201358992462,8.801822616471261,0.2848149089118797,8.097629235761518,0.19507599261774225,-0.4914630574432586,0.21273032326648433,-0.7041933807097429,31188238.0,31188298.2
752095,24336487,5584500,1694,280,PSR1600155106.hg.1,2,31188325.0,31188357.0,probeset_region,908.3333,1727.7778,1540.3334,844.1111,1075.3334,1336.2222,1012.3333,1023.3333,903.8889,9.828665396024746,10.755536762536913,10.589963219865645,9.722997175880039,10.071909279433001,10.385023461386854,9.984893078644292,10.000469522217358,9.821596887882457,10.059976638899965,0.33117441267111186,10.391388459475769,0.49431425643304633,9.935653162914702,0.09908219721155591,-0.12432347598526228,0.3314118205758039,-0.45573529656106615,31188341.0,31188329.8
1215620,24336487,5584501,1579,453,PSR1600155106.hg.1,2,31188325.0,31188357.0,probeset_region,1406.6666,2194.0,1995.7778,1155.7778,1351.6666,2086.0,1248.0,1270.8889,1209.6666,10.459089989377508,11.10000522442272,10.963458107450393,10.175896095171447,10.40159060563722,11.027214885159834,10.286557761607957,10.31275695897023,10.241585938081258,10.534900528656166,0.44103806210837526,10.84085110708354,0.3375906426909411,10.280300219553148,0.03599578000294478,-0.2546003091030187,0.30595057842737283,-0.5605508875303915,31188341.0,31188334.28
4561471,24336487,5584502,110,1702,PSR1600155106.hg.1,2,31188325.0,31188357.0,probeset_region,3110.889,3257.4443,3525.7778,2698.0,2967.7778,3743.2222,3287.2222,2866.0,3341.5557,11.603574846537052,11.669967634241884,11.784134981287584,11.398209261466851,11.535653418195643,11.870450326185257,11.683092062330882,11.485326189240524,11.706735870589764,11.601437668615917,0.2428962360846936,11.685892487355508,0.09132738513337854,11.625051374053724,0.12158167160619929,0.023613705437806942,0.08445481873959082,-0.06084111330178388,31188341.0,31188338.76
5097623,24336487,5584503,262,1902,PSR1600155106.hg.1,2,31188325.0,31188357.0,probeset_region,3293.5557,4218.6665,4048.0,3005.4443,3406.889,3955.5557,3142.889,3028.3333,3545.3333,11.68586818707899,12.042913266491944,11.983349927676457,11.553842532066732,11.734662594719593,11.950029339043251,11.61833452797597,11.564784580026872,11.792112398549488,11.746178155276525,0.1983442779783873,11.90404379374913,0.1912783164452389,11.658410502184111,0.1188446340821136,-0.08776765309241341,0.1578656384726056,-0.245633291565019,31188341.0,31188343.24
5515321,24336487,5584504,2560,2057,PSR1600155106.hg.1,2,31188325.0,31188357.0,probeset_region,3193.4443,3616.2222,3841.4443,2569.6667,2807.2222,3761.0,2914.889,2413.0,3151.4443,11.641349285159562,11.82066649498186,11.907808644942843,11.327926881180545,11.455441361311573,11.877284133523196,11.509720044324883,11.237209960755022,11.62225518115502,11.553550792005105,0.2875194653734304,11.789941475028087,0.13586083962054263,11.456395062078307,0.19798389009441897,-0.09715572992679711,0.23639068302298227,-0.3335464129497794,31188341.0,31188347.72
6765343,24336487,5584505,1022,2524,PSR1600155106.hg.1,2,31188325.0,31188357.0,probeset_region,3361.5557,4174.3335,4439.8887,2942.111,2857.6667,4286.778,2803.4443,2716.5557,3183.7778,11.715342435038329,12.027675719121913,12.116632689665149,11.523126280657326,11.4811267308071,12.0660144402408,11.45349923260819,11.408093871136183,11.636977019213944,11.69008915056841,0.32623742597739863,11.953216947941797,0.21075233941490243,11.499523374319438,0.12118391016834486,-0.19056577624897209,0.26312779737338765,-0.45369357362235974,31188341.0,31188352.2
