probe_id,fsetid,atom,x,y,man_fsetid,type,start,stop,feature_type,P_SKMel29_AdDNp73beta_1.CEL,P_SKMel29_AdDNp73beta_2.CEL,P_SKMel29_AdDNp73beta_3.CEL,P_SKMel29_AdGFP_1.CEL,P_SKMel29_AdGFP_2.CEL,P_SKMel29_AdGFP_3.CEL,P_SKMel29_AdTAp73alpha_1.CEL,P_SKMel29_AdTAp73alpha_2.CEL,P_SKMel29_AdTAp73alpha_3.CEL,log2_P_SKMel29_AdDNp73beta_1.CEL,log2_P_SKMel29_AdDNp73beta_2.CEL,log2_P_SKMel29_AdDNp73beta_3.CEL,log2_P_SKMel29_AdGFP_1.CEL,log2_P_SKMel29_AdGFP_2.CEL,log2_P_SKMel29_AdGFP_3.CEL,log2_P_SKMel29_AdTAp73alpha_1.CEL,log2_P_SKMel29_AdTAp73alpha_2.CEL,log2_P_SKMel29_AdTAp73alpha_3.CEL,GFP_mean_log2,GFP_sd_log2,DNp73beta_mean_log2,DNp73beta_sd_log2,TAp73alpha_mean_log2,TAp73alpha_sd_log2,log2FC_TAp73alpha_vs_GFP,log2FC_DNp73beta_vs_GFP,log2FC_TAp73alpha_vs_DNp73beta,region_midpoint,probe_plot_x
1583170,23696853,2066790,1969,590,PSR0100145795.hg.1,2,3727478.0,3727627.0,probeset_region,32.333332,36.77778,36.333332,33.666668,31.0,35.77778,30.666666,32.11111,46.11111,5.058893634019119,5.239465967068594,5.222392372198547,5.115477270337673,5.0,5.200762438618348,4.984893078644292,5.049243500551913,5.557995440141064,5.105413236318674,0.10075888435045403,5.173583991095421,0.0996909495148063,5.1973773397790906,0.3139574890513544,0.09196410346041617,0.06817075477674628,0.02379334868366989,3727552.5,3727500.35
2443765,23696853,2066791,2284,911,PSR0100145795.hg.1,2,3727478.0,3727627.0,probeset_region,88.888885,47.333332,70.44444,96.666664,66.0,74.55556,44.11111,81.666664,62.11111,6.490070836565466,5.594946551338986,6.1587498916495855,6.609794316134915,6.066089190457772,6.239465967068594,5.495410902187581,6.369233765283099,5.979822108373206,6.305116491220427,0.27773424242062256,6.081255759851346,0.45256588122385705,5.948155591947962,0.43777125900862257,-0.3569608992724653,-0.22386073136908102,-0.1331001679033843,3727552.5,3727521.21
3011385,23696853,2066792,1744,1123,PSR0100145795.hg.1,2,3727478.0,3727627.0,probeset_region,76.77778,68.44444,79.0,51.0,81.44444,86.888885,66.333336,75.111115,66.0,6.281286126114145,6.11778734288509,6.321928094887363,5.700439718141092,6.365350345510325,6.457608827369848,6.07324903652019,6.2500352406793835,6.066089190457772,6.174466297007089,0.4131026566996471,6.240333854628865,0.10805636520754497,6.129791155885781,0.10419594903256808,-0.044675141121308215,0.06586755762177621,-0.11054269874308442,3727552.5,3727542.07
3339542,23696853,2066793,261,1246,PSR0100145795.hg.1,2,3727478.0,3727627.0,probeset_region,129.33333,121.0,125.22222,185.11111,167.0,122.0,178.33333,149.0,142.0,7.026062240284969,6.930737337562887,6.979822108373206,7.540020405075294,7.392317422778761,6.94251450533924,7.486499820917662,7.22881869049588,7.159871336778389,7.291617444397765,0.3112212866905118,6.978873895407021,0.04766952486249007,7.29172994939731,0.17216245681100717,0.00011250499954496007,-0.31274354899074464,0.3128560539902896,3727552.5,3727562.93
5566773,23696853,2066794,412,2077,PSR0100145795.hg.1,2,3727478.0,3727627.0,probeset_region,58.555557,85.77778,69.0,72.888885,54.666668,77.111115,68.22222,56.444443,54.22222,5.896164230085943,6.439253750792996,6.129283016944966,6.207285462739383,5.798741824707655,6.287455940258328,6.113163333914129,5.844095426292777,5.787177017973314,6.097827742568455,0.26209943926567647,6.154900332607968,0.2724495219701945,5.914811926060074,0.17411888768789488,-0.18301581650838106,0.05707259003951304,-0.2400884065478941,3727552.5,3727583.79
6824094,23696853,2066795,813,2546,PSR0100145795.hg.1,2,3727478.0,3727627.0,probeset_region,254.22223,76.111115,76.77778,113.0,121.666664,61.444443,90.888885,90.666664,110.888885,7.9956101782704465,6.2688669145762335,6.281286126114145,6.832890014164741,6.9385994254258305,5.9645012796081875,6.521818464491284,6.518325267665812,6.805922922842964,6.578663573066254,0.5344998708480151,6.848587739653607,0.9933699790217615,6.615355551666686,0.1650454265461272,0.03669197860043205,0.2699241665873533,-0.23323218798692125,3727552.5,3727604.65
11046,23696854,2066796,325,4,PSR0100145796.hg.1,2,3727628.0,3727770.0,probeset_region,7699.222,6156.222,5876.1113,96.55556,116.0,117.333336,8587.223,8377.0,7819.6665,12.910684355924543,12.58806391019805,12.520891511730044,6.608152153165687,6.870364719583405,6.886712744676211,13.068143879317514,13.032390168866524,12.933075848832225,6.788409872475101,0.15632161881544837,12.673213259284212,0.20838047913290025,13.011203299005421,0.06998218205855866,6.222793426530321,5.884803386809112,0.337990039721209,3727699.0,3727649.3
2994747,23696854,2066797,1186,1117,PSR0100145796.hg.1,2,3727628.0,3727770.0,probeset_region,7389.3335,5332.6665,5717.6665,130.33333,131.44444,145.66667,7908.5557,7719.8887,7725.6665,12.85142375354023,12.380911905538532,12.48146305885349,7.037089262862683,7.049243500551913,7.196397262834819,12.949380935206033,12.914551195461215,12.915630414782646,7.094243342083138,0.08867637237256079,12.571266239310752,0.24777773950190227,12.926520848483298,0.019804768423644144,5.8322775064001595,5.477022897227614,0.3552546091725457,3727699.0,3727669.18
3724175,23696854,2066798,1654,1389,PSR0100145796.hg.1,2,3727628.0,3727770.0,probeset_region,6495.6665,5822.1113,5415.6665,95.77778,79.111115,83.55556,7059.6665,6846.3335,7673.6665,12.665483933280385,12.507574485608702,12.403189553619173,6.596603919793624,6.323930508863084,6.40182767098867,12.785588660296602,12.741326564573331,12.9058883454232,6.440787366548459,0.14044960187094677,12.525415990836086,0.1320542497689834,12.810934523431044,0.08515840834963104,6.3701471568825845,6.084628624287626,0.2855185325949581,3727699.0,3727689.06
4481605,23696854,2066799,644,1672,PSR0100145796.hg.1,2,3727628.0,3727770.0,probeset_region,8732.0,7064.1113,6910.3335,429.33334,329.0,335.22223,8729.889,9567.777,9118.556,13.092261624843921,12.786496578592628,12.754748380600454,8.749310818689487,8.366322214245816,8.393271299873934,13.091912790436226,13.22411887992754,13.154747817728625,8.502968110936413,0.21376414702046162,12.877835528012334,0.18637569656679873,13.156926496030797,0.06612996676246401,4.653958385094384,4.3748674170759205,0.27909096801846367,3727699.0,3727708.94
