man_fsetid,fsetid,type,start,stop,feature_type,n_pm_probes,P_SKMel29_AdDNp73beta_1.CEL,P_SKMel29_AdDNp73beta_2.CEL,P_SKMel29_AdDNp73beta_3.CEL,P_SKMel29_AdGFP_1.CEL,P_SKMel29_AdGFP_2.CEL,P_SKMel29_AdGFP_3.CEL,P_SKMel29_AdTAp73alpha_1.CEL,P_SKMel29_AdTAp73alpha_2.CEL,P_SKMel29_AdTAp73alpha_3.CEL,log2_P_SKMel29_AdDNp73beta_1.CEL,log2_P_SKMel29_AdDNp73beta_2.CEL,log2_P_SKMel29_AdDNp73beta_3.CEL,log2_P_SKMel29_AdGFP_1.CEL,log2_P_SKMel29_AdGFP_2.CEL,log2_P_SKMel29_AdGFP_3.CEL,log2_P_SKMel29_AdTAp73alpha_1.CEL,log2_P_SKMel29_AdTAp73alpha_2.CEL,log2_P_SKMel29_AdTAp73alpha_3.CEL,GFP_mean_log2,GFP_sd_log2,DNp73beta_mean_log2,DNp73beta_sd_log2,TAp73alpha_mean_log2,TAp73alpha_sd_log2,log2FC_TAp73alpha_vs_GFP,log2FC_DNp73beta_vs_GFP,log2FC_TAp73alpha_vs_DNp73beta,midpoint
PSR0100145790.hg.1,23696848,2,3707576.0,3707791.0,probeset_region,6,9595.333984375,7742.16650390625,7330.388671875,243.8333282470703,141.83334350585938,214.94444274902344,10716.77734375,10853.77734375,11217.72265625,13.228267653758282,12.918707949903995,12.839870776373981,7.935656149864014,7.158188996139435,7.754516379570011,13.387718129783478,13.406042512839015,13.453620802162856,7.616120508524486,0.4067909249503812,12.995615460012084,0.20530247788017186,13.415793814928449,0.03401626781431902,5.799673306403963,5.379494951487598,0.4201783549163647,3707683.5
PSR0100145791.hg.1,23696849,2,3707792.0,3708534.0,probeset_region,6,69.5,70.72222137451172,60.333335876464844,67.61111450195312,83.94444274902344,58.72222137451172,60.27777862548828,64.33332824707031,71.44444274902344,6.139551352398794,6.1643482668131515,5.938599515155908,6.100370396329416,6.40844766112349,5.900195922556576,5.937292094107166,6.029747231078847,6.178803119025299,6.136337993336494,0.25602774940408374,6.080833044789284,0.12380026031917159,6.048614148070437,0.12185591576459257,-0.0877238452660567,-0.055504948547209665,-0.032218896718847034,3708163.0
PSR0100145792.hg.1,23696850,2,3722021.0,3722207.0,probeset_region,6,8441.77734375,6814.77783203125,6584.1669921875,97.66666412353516,76.55555725097656,91.27777862548828,8604.166015625,9106.888671875,9719.22265625,13.04350195195148,12.734662594719593,12.685004310678583,6.624490827722355,6.277158256305706,6.527911369773393,13.070987310467194,13.152900941802471,13.246773645961106,6.4765201512671515,0.17927847555240067,12.82105628578322,0.19423707702510282,13.156887299410258,0.08796094145600891,6.680367148143106,6.344536134516068,0.33583101362703793,3722114.0
PSR0100145793.hg.1,23696851,2,3723354.0,3723469.0,probeset_region,6,10089.888671875,8409.2216796875,7737.16650390625,99.66667175292969,69.22222137451172,71.16667175292969,9995.4443359375,10661.6669921875,10119.666015625,13.300765613067155,13.03792811272525,12.917776056577804,6.65344231149723,6.133855729318825,6.173260815685839,13.28719931443868,13.38028071587981,13.305016612844799,6.320186285500632,0.2892799238716405,13.085489927456734,0.1958745638422497,13.324165547721096,0.049406964121808374,7.003979262220464,6.765303641956103,0.2386756202643614,3723411.5
PSR0100145794.hg.1,23696852,2,3727115.0,3727224.0,probeset_region,6,11411.333984375,9224.72265625,9002.4453125,198.5555419921875,95.16666412353516,123.27777862548828,11493.388671875,11952.9443359375,11275.166015625,13.478306252975948,13.171446207407415,13.136261462116542,7.640646535241908,6.587464969772196,6.957424549457566,13.488642118027695,13.545199109468946,13.460989003095056,7.061845351490557,0.5342991955676315,13.262004640833302,0.1881469695130025,13.498276743530566,0.0429238280015994,6.436431392040009,6.2001592893427455,0.23627210269726362,3727169.5
PSR0100145795.hg.1,23696853,2,3727478.0,3727627.0,probeset_region,6,82.83332824707031,72.27777862548828,73.61111450195312,84.77777099609375,73.72222137451172,75.83333587646484,67.27777862548828,78.38888549804688,64.05555725097656,6.389452001554431,6.195303864498982,6.221318653551113,6.4225319217647305,6.223465439634552,6.263660487460414,6.0933442168422935,6.310865138033407,6.023600396657159,6.303219282953232,0.10526414300488622,6.268691506534842,0.10538745267055677,6.142603250510953,0.1498335650245573,-0.16061603244227918,-0.03452777641838978,-0.1260882560238894,3727552.5
PSR0100145796.hg.1,23696854,2,3727628.0,3727770.0,probeset_region,6,7544.27783203125,5989.1669921875,5796.888671875,101.27777862548828,97.55555725097656,126.66667175292969,8247.888671875,8048.4443359375,7772.66650390625,12.881358309272757,12.548380507282594,12.501311916427069,6.676348921865106,6.622865317676991,6.99623813868103,13.00998405061783,12.974673480130788,12.924379500972984,6.765150792741043,0.2019062779346605,12.643683577660807,0.2071734094819862,12.969679010573868,0.04302026585913257,6.204528217832825,5.878532784919765,0.32599543291306077,3727699.0
PSR0100145797.hg.1,23696855,2,3728129.0,3728217.0,probeset_region,6,9652.22265625,7101.27734375,6739.6669921875,177.5555419921875,166.1666717529297,151.22222900390625,9587.3330078125,9933.22265625,10086.9443359375,13.236794940414335,12.79406598332571,12.718675638489294,7.480229102643334,7.385143433786895,7.2500352406793835,13.227064300071412,13.27819136699873,13.300344599732613,7.371802592369871,0.11567535199321953,12.91651218740978,0.2799226811599426,13.268533422267586,0.037582675555783006,5.896730829897715,5.544709595039908,0.3520212348578067,3728173.0
PSR0100145798.hg.1,23696856,2,3729327.0,3729448.0,probeset_region,6,11817.3330078125,10439.888671875,10390.27734375,281.22222900390625,245.27777099609375,197.38888549804688,12342.4443359375,11811.5556640625,11628.0,13.528738935287764,13.349956891068697,13.343085387422487,8.140687814884584,7.944142605995852,7.632187392485362,13.591457402319998,13.528033507281274,13.505439421582492,7.905672604455266,0.25642372288644927,13.407260404592984,0.1052595812998142,13.54164344372792,0.044594798240386806,5.635970839272654,5.501587800137718,0.13438303913493677,3729387.5
PSR0100145799.hg.1,23696857,2,3729449.0,3729751.0,probeset_region,6,59.22222137451172,56.5,51.66666793823242,59.5,55.72222137451172,72.05555725097656,51.38888931274414,71.72222137451172,69.05555725097656,5.912224019603644,5.845490050944375,5.7188182822878755,5.918863237274595,5.82584212787449,6.190922116218385,5.711188970904989,6.184324363685679,6.130427593800704,5.978542493789156,0.18971573397030803,5.825510784278632,0.09823860304910537,6.008646976130457,0.259011899544296,0.03010448234130081,-0.15303170951052447,0.18313619185182528,3729600.0
PSR0100145800.hg.1,23696858,2,3730000.0,3730148.0,probeset_region,6,8358.666015625,6439.5,6526.8330078125,120.33332824707031,99.44444274902344,115.33332824707031,9002.888671875,8580.5556640625,8304.5556640625,13.029229589740186,12.652956979138512,12.6723884360459,6.922832079000123,6.65025393662135,6.862120662411763,13.136332503434744,13.067023487793461,13.019860976265798,6.811735559344412,0.14310382553934908,12.784858334974865,0.21185461523428925,13.074405655831335,0.05858563359707869,6.262670096486922,5.973122775630453,0.28954732085646917,3730074.0
PSR0100145801.hg.1,23696859,2,3730927.0,3731065.0,probeset_region,6,9627.22265625,7914.0,7139.16650390625,156.33334350585938,127.16666412353516,134.44444274902344,10742.611328125,10962.4453125,10878.388671875,13.233053789722673,12.950373635024544,12.801742001991952,7.297680641919408,7.001877258614169,7.0815573911190155,13.391191397959709,13.420413622571392,13.409309871355246,7.127038430550864,0.15305653891473442,12.995056475579723,0.21910016371268926,13.406971630628782,0.014750767101580926,6.2799332000779176,5.868018045028859,0.4119151550490585,3730996.0
PSR0100145802.hg.1,23696860,2,3731463.0,3731555.0,probeset_region,6,43.833335876464844,87.72222137451172,76.11111450195312,110.83332824707031,39.11111068725586,67.55555725097656,8565.0556640625,9222.611328125,9526.22265625,5.486499943671077,6.471223582184463,6.2688669145762335,6.805206389864185,5.325930010199859,6.09920171338584,13.064415336862558,13.171116005500776,13.2178399905044,6.076779371149961,0.7398930483061086,6.07553014681059,0.5200523919657614,13.151123777622578,0.0786418970265225,7.074344406472617,-0.0012492243393706914,7.075593630811988,3731509.0
PSR0100145805.hg.1,23696861,2,3732763.0,3733079.0,probeset_region,6,209.83334350585938,179.05555725097656,133.66665649414062,184.88888549804688,162.5,199.55555725097656,11193.77734375,10527.77734375,10568.27734375,7.719959238469303,7.492298317460088,7.073248873051529,7.538296702279507,7.353146825498083,7.647858132528221,13.450538213835346,13.362050292406678,13.367589117837747,7.51310055343527,0.14896248876911505,7.42850214299364,0.3280412140145088,13.393392541359923,0.049567030966057586,5.880291987924653,-0.08459841044162975,5.964890398366283,3732921.0
