probe_id,fsetid,atom,x,y,man_fsetid,type,start,stop,feature_type,P_SKMel29_AdDNp73beta_1.CEL,P_SKMel29_AdDNp73beta_2.CEL,P_SKMel29_AdDNp73beta_3.CEL,P_SKMel29_AdGFP_1.CEL,P_SKMel29_AdGFP_2.CEL,P_SKMel29_AdGFP_3.CEL,P_SKMel29_AdTAp73alpha_1.CEL,P_SKMel29_AdTAp73alpha_2.CEL,P_SKMel29_AdTAp73alpha_3.CEL,log2_P_SKMel29_AdDNp73beta_1.CEL,log2_P_SKMel29_AdDNp73beta_2.CEL,log2_P_SKMel29_AdDNp73beta_3.CEL,log2_P_SKMel29_AdGFP_1.CEL,log2_P_SKMel29_AdGFP_2.CEL,log2_P_SKMel29_AdGFP_3.CEL,log2_P_SKMel29_AdTAp73alpha_1.CEL,log2_P_SKMel29_AdTAp73alpha_2.CEL,log2_P_SKMel29_AdTAp73alpha_3.CEL,DNp73beta_mean_log2,DNp73beta_sd_log2,GFP_mean_log2,GFP_sd_log2,TAp73alpha_mean_log2,TAp73alpha_sd_log2,log2FC_TAp73alpha_vs_GFP,log2FC_DNp73beta_vs_GFP,log2FC_TAp73alpha_vs_DNp73beta
1763430,24521090,6624201,2669,657,PSR2200160986.hg.1,2,31340679.0,31341404.0,probeset_region,37.88889,87.55556,80.55556,44.333332,40.555557,49.333332,41.22222,38.88889,33.444443,5.281286126114145,6.4685109401689616,6.349711281392425,5.502500300062676,5.376969517305696,5.653442202157268,5.399930577923136,5.3179150477106685,5.106199332819732,6.033169449225177,0.6538537591929271,5.510970673175213,0.13843083754264562,5.274681652817846,0.15156304270160365,-0.23628902035736665,0.5221987760499642,-0.7584877964073309
3253386,24521090,6624202,2545,1213,PSR2200160986.hg.1,2,31340679.0,31341404.0,probeset_region,52.333332,162.77777,71.333336,48.444443,34.88889,103.22222,36.22222,54.666668,43.77778,5.736965559769676,7.3555957479138705,6.176588782446316,5.62773647494228,5.165465370290141,6.70351909933864,5.218092251046435,5.798741824707655,5.484711054398036,6.423050030043288,0.8369876232168667,5.83224031485702,0.7891569449513222,5.500515043384042,0.2906472198372823,-0.3317252714729779,0.5908097151862677,-0.9225349866592456
4015078,24521090,6624203,437,1498,PSR2200160986.hg.1,2,31340679.0,31341404.0,probeset_region,173.44444,82.333336,77.44444,63.444443,75.666664,110.333336,94.111115,71.22222,70.77778,7.446623828315161,6.3808218279684885,6.293599340647877,6.009984050617829,6.260527502367176,6.798741824707655,6.571542036392898,6.174370889539828,6.165465370290141,6.707014998977176,0.6420030030300695,6.35641779256422,0.4030271918398795,6.303792765407621,0.23192041987099032,-0.05262502715659867,0.35059720641295566,-0.40322223356955433
4056939,24521090,6624204,2098,1513,PSR2200160986.hg.1,2,31340679.0,31341404.0,probeset_region,42.0,68.55556,87.0,53.22222,74.44444,87.0,50.88889,48.0,36.333332,5.426264754702098,6.120093880656087,6.459431618637297,5.760812313565472,6.2373427303815365,6.459431618637297,5.697353750052028,5.614709844115208,5.222392372198547,6.001930084665161,0.5266217372988535,6.152528887528102,0.35694855975257195,5.511485322121928,0.2537489981628998,-0.6410435654061741,-0.15059880286294103,-0.4904447625432331
4142521,24521090,6624205,1920,1545,PSR2200160986.hg.1,2,31340679.0,31341404.0,probeset_region,41.11111,133.55556,125.22222,58.77778,62.666668,117.111115,68.0,52.11111,51.555557,5.396129022207817,7.072058166430199,6.979822108373206,5.901537381573214,5.99246635612844,6.884000921507003,6.108524456778169,5.730941795024953,5.715771418437842,6.4826697656704075,0.9421013549531981,6.259334886402885,0.5428837455320795,5.851745890080321,0.22250608827175827,-0.4075889963225645,0.22333487926752227,-0.6309238755900868
87654,24521091,6624206,1893,32,PSR2200160987.hg.1,2,31341405.0,31341683.0,probeset_region,200.44444,632.44446,794.0,222.44444,204.0,918.1111,265.0,215.88889,186.11111,7.654238196159662,9.307074315581861,9.634811050171718,7.803772353916356,7.679480099505446,9.844095426292778,8.055282435501189,7.760812313565472,7.547751447768714,8.865374520637749,1.0615984359222745,8.442449293238193,1.2154509668665328,7.787948732278458,0.2548513582318136,-0.6545005609597343,0.4229252273995563,-1.0774257883592906
189181,24521091,6624207,1580,70,PSR2200160987.hg.1,2,31341405.0,31341683.0,probeset_region,88.666664,86.666664,115.333336,81.22222,95.0,86.333336,85.44444,50.0,67.77778,6.486499820917662,6.453956446719854,6.862120757026862,6.361456444199825,6.584962500721156,6.4484605428273225,6.433701315248533,5.672425341971495,6.103870615553681,6.600859008221459,0.22684365506376314,6.464959829249435,0.11266281180921363,6.069999090924569,0.38176660017313024,-0.39496073832486545,0.13589917897202408,-0.5308599172968895
1285389,24521091,6624208,1668,479,PSR2200160987.hg.1,2,31341405.0,31341683.0,probeset_region,75.666664,67.44444,98.77778,77.77778,65.666664,69.55556,87.111115,130.33333,80.0,6.260527502367176,6.0968615035159335,6.64064664555595,6.299716831321731,6.058893634019119,6.1406878148845845,6.461252109781915,7.037089262862683,6.339850002884624,6.332678550479687,0.2789801076845277,6.166432760075144,0.12245837963125202,6.61273045850974,0.37248478360017495,0.44629769843459677,0.16624579040454357,0.2800519080300532
3548113,24521091,6624209,2472,1323,PSR2200160987.hg.1,2,31341405.0,31341683.0,probeset_region,190.44444,441.77777,476.8889,155.55556,229.33333,519.2222,207.77777,220.88889,227.22223,7.5807819720062115,8.79043898533888,8.90053140426575,7.2905309104910145,7.847579367809245,9.022984236476859,7.705824303114987,7.793693593954811,7.834295507745949,8.423917453870281,0.7322487048536923,8.053698171592373,0.8844276977993136,7.7779378016052485,0.06566883849478777,-0.2757603699871245,0.37021928227790823,-0.6459796522650327
5850936,24521091,6624210,495,2183,PSR2200160987.hg.1,2,31341405.0,31341683.0,probeset_region,1128.7778,863.7778,1050.8889,1096.0,1035.6666,877.55554,971.1111,915.6667,1066.3334,10.141823382842832,9.756185629029215,10.038766642547843,10.099347810403193,10.017736307669722,9.778989685597148,9.924977371050728,9.84025343459827,10.059795146795173,9.978925218139963,0.1996618800572006,9.965357934556687,0.16647808417262486,9.94167531748139,0.11071927072482812,-0.02368261707529662,0.01356728358327608,-0.0372499006585727
